[3/1/2019 23:30:37] /a
[3/1/2019 23:44:43] /goto knight sample
[3/1/2019 23:46:46] /goto knight sample
[4/1/2019 1:32:34] /b VITOR ?
[4/1/2019 7:38:34] /m triton
[4/1/2019 7:38:42] /s trainer
[4/1/2019 7:38:59] /m blastoise
[4/1/2019 7:39:3] /r
[4/1/2019 7:39:6] /s blastoise
[4/1/2019 7:39:10] /m chest
[4/1/2019 7:39:14] /r
[4/1/2019 7:39:21] /s chest
[4/1/2019 7:39:51] /m blastoise
[4/1/2019 7:40:20] /m pyria
[4/1/2019 7:40:51] /r
[4/1/2019 7:40:53] /r
[4/1/2019 7:40:55] /r
[4/1/2019 7:43:4] /i fishig spear
[4/1/2019 7:44:24] /up
[4/1/2019 7:44:25] /up
[4/1/2019 7:44:26] /up
[4/1/2019 7:44:33] /down
[4/1/2019 7:44:40] /up
[4/1/2019 7:44:42] /up
[4/1/2019 7:44:43] /up
[4/1/2019 7:44:44] /up
[4/1/2019 7:45:43] /i 7885
[4/1/2019 7:45:56] /r
[4/1/2019 7:46:38] /up
[4/1/2019 7:46:56] /newtype 2
[4/1/2019 7:46:57] /newtype 22
[4/1/2019 7:47:0] /newtype 255
[4/1/2019 7:47:4] /newtype 302
[4/1/2019 7:47:12] /m sobek
[4/1/2019 7:47:15] /s chest
[4/1/2019 7:47:26] /r
[4/1/2019 7:47:27] /r
[4/1/2019 7:47:45] /i 5259
[4/1/2019 7:47:51] /r
[4/1/2019 7:47:53] /i 5259
[4/1/2019 7:48:0] /r
[4/1/2019 7:48:18] /up
[4/1/2019 7:48:48] /down
[4/1/2019 7:49:27] /up
[4/1/2019 7:49:53] /up
[4/1/2019 7:50:8] /up
[4/1/2019 7:50:10] /up
[4/1/2019 7:52:31] /up
[4/1/2019 7:52:33] /up
[4/1/2019 7:55:35] /down
[4/1/2019 7:57:58] /closeserver
[4/1/2019 7:58:6] /openserver
[4/1/2019 7:58:28] /b KAKKAA
[4/1/2019 7:58:34] /bc Nao
[4/1/2019 7:59:23] /kick Vinny
[4/1/2019 8:0:36] /addskill Vinny,Level 
[4/1/2019 8:0:43] /addskill Vinny,Level 200
[4/1/2019 8:0:48] /addskill Vinny,Level 200
[4/1/2019 8:0:50] /addskill Vinny,Level 22222
[4/1/2019 8:0:52] /addskill Vinny,Level 2222222
[4/1/2019 8:0:56] /addskill Vinny,Level 50
[4/1/2019 8:0:58] /addskill Vinny,Level 50
[4/1/2019 8:0:59] /addskill Vinny,Level 50
[4/1/2019 8:1:3] /addskill Vinny,Level 5555555555
[4/1/2019 8:1:4] /addskill Vinny,Level 5555555555
[4/1/2019 8:1:6] /addskill Vinny,Level 5555555555
[4/1/2019 8:1:7] /addskill Vinny,Level 5555555555
[4/1/2019 8:1:8] /addskill Vinny,Level 5555555555
[4/1/2019 8:1:9] /addskill Vinny,Level 5555555555555
[4/1/2019 8:1:17] /addskill Vinny,Level 5555555555555
[4/1/2019 8:1:18] /addskill Vinny,Level 5555555555555
[4/1/2019 8:1:18] /addskill Vinny,Level 5555555555555
[4/1/2019 8:1:18] /addskill Vinny,Level 5555555555555
[4/1/2019 8:1:18] /addskill Vinny,Level 5555555555555
[4/1/2019 8:1:18] /addskill Vinny,Level 5555555555555
[4/1/2019 8:1:18] /addskill Vinny,Level 5555555555555
[4/1/2019 8:1:18] /addskill Vinny,Level 5555555555555
[4/1/2019 8:1:18] /addskill Vinny,Level 5555555555555
[4/1/2019 8:1:18] /addskill Vinny,Level 5555555555555
[4/1/2019 8:1:19] /addskill Vinny,Level 5555555555555
[4/1/2019 8:1:19] /addskill Vinny,Level 5555555555555
[4/1/2019 8:1:19] /addskill Vinny,Level 5555555555555
[4/1/2019 8:1:19] /addskill Vinny,Level 5555555555555
[4/1/2019 8:1:19] /addskill Vinny,Level 5555555555555
[4/1/2019 8:1:19] /addskill Vinny,Level 5555555555555
[4/1/2019 8:1:19] /addskill Vinny,Level 5555555555555
[4/1/2019 8:1:19] /addskill Vinny,Level 5555555555555
[4/1/2019 8:1:19] /addskill Vinny,Level 5555555555555
[4/1/2019 8:1:19] /addskill Vinny,Level 5555555555555
